"filename", "language", "Shell Script", "Markdown", "JSON", "JavaScript", "XML", "SCSS", "CSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Color Picker\ColorPicker.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Color Picker\ColorPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 7, 111
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Color Picker\defaultColors.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Embed\Embed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Image\Image.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Image\Image.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Link\Link.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Link\LinkButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Link\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Table\InTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Table\Table.css", "CSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Table\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 86
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Video\Video.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Elements\Video\Video.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\Toolbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 81, 14, 178
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 2, 35
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarGroups.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 125, 3, 153
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\align-center.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\align-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\align-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\blockquote.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\fontColor.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
